Keyword,Position,Word,Frequency,Log-Likelihood,Significance
Significance thresholds:,,,,,
,,,,LL >= 15.13,p < 0.0001
,,,,LL >= 10.83,p < 0.001
,,,,LL >= 6.63,p < 0.01
,,,,LL >= 3.84,p < 0.05
,,,,,
,,,,,
WORD: daulat,,,,,
daulat,Left,maka,686,577.21,p < 0.0001
daulat,Left,sembah,422,1814.07,p < 0.0001
daulat,Left,laksamana,357,611.47,p < 0.0001
daulat,Left,kita,299,987.1,p < 0.0001
daulat,Left,bendahara,249,678.39,p < 0.0001
daulat,Left,pun,196,0,not significant
daulat,Left,raja,186,176.6,p < 0.0001
daulat,Left,titah,161,406.86,p < 0.0001
daulat,Left,baginda,111,156.23,p < 0.0001
daulat,Left,hai,102,296.07,p < 0.0001
daulat,Left,tuah,95,134.09,p < 0.0001
daulat,Left,tun,90,54.81,p < 0.0001
daulat,Left,hendak,70,67.34,p < 0.0001
daulat,Left,mamak,65,277.56,p < 0.0001
daulat,Left,orang,62,0,not significant
daulat,Left,apa,61,183.51,p < 0.0001
daulat,Left,datang,57,26.73,p < 0.0001
daulat,Left,anak,54,95.24,p < 0.0001
daulat,Left,tiada,52,0,not significant
daulat,Left,patih,52,32.34,p < 0.0001
daulat,Left,kepada,50,58,p < 0.0001
daulat,Left,segala,48,0,not significant
daulat,Left,setelah,47,0,not significant
daulat,Left,temenggung,47,106.21,p < 0.0001
daulat,Left,melaka,46,13.05,p < 0.001
daulat,Left,pergi,44,57.94,p < 0.0001
daulat,Left,kerana,43,14.93,p < 0.001
daulat,Left,menyembah,42,72.36,p < 0.0001
daulat,Left,bertitah,41,131.07,p < 0.0001
daulat,Left,demikian,40,29.35,p < 0.0001
daulat,Left,negeri,39,40.06,p < 0.0001
daulat,Left,betara,39,21.2,p < 0.0001
daulat,Left,jika,36,40.24,p < 0.0001
daulat,Left,hang,34,0,not significant
daulat,Left,mengadap,34,34.73,p < 0.0001
daulat,Left,seri,31,10.82,p < 0.01
daulat,Left,tuan,29,15.82,p < 0.0001
daulat,Left,khabar,29,93.59,p < 0.0001
daulat,Left,baik,29,26.1,p < 0.0001
daulat,Left,menteri,28,44.2,p < 0.0001
daulat,Left,wijaya,27,50.15,p < 0.0001
daulat,Left,lalu,26,0,not significant
daulat,Left,kerma,26,47.02,p < 0.0001
daulat,Left,empat,26,23.24,p < 0.0001
daulat,Left,serta,26,42.19,p < 0.0001
daulat,Left,gajah,26,0,not significant
daulat,Left,pegawai,25,7.28,p < 0.01
daulat,Left,hari,25,14.08,p < 0.001
daulat,Left,duduk,25,0,not significant
daulat,Left,melihat,24,10.97,p < 0.001
daulat,Right,tuanku,513,2493.12,p < 0.0001
daulat,Right,patik,472,2010.3,p < 0.0001
daulat,Right,maka,373,0,not significant
daulat,Right,pun,242,0,not significant
daulat,Right,titah,152,374.16,p < 0.0001
daulat,Right,syah,142,673.21,p < 0.0001
daulat,Right,alam,141,614.58,p < 0.0001
daulat,Right,duli,137,412.53,p < 0.0001
daulat,Right,raja,135,48.34,p < 0.0001
daulat,Right,laksamana,114,0,not significant
daulat,Right,ampun,77,380.74,p < 0.0001
daulat,Right,setelah,71,0,not significant
daulat,Right,kurnia,66,281.63,p < 0.0001
daulat,Right,betara,66,108.6,p < 0.0001
daulat,Right,mohonkan,65,327.71,p < 0.0001
daulat,Right,tiada,65,30.54,p < 0.0001
daulat,Right,baginda,65,25.14,p < 0.0001
daulat,Right,paduka,61,148.95,p < 0.0001
daulat,Right,mana,61,173.43,p < 0.0001
daulat,Right,bendahara,60,0,not significant
daulat,Right,bicara,60,171.98,p < 0.0001
daulat,Right,segala,59,0,not significant
daulat,Right,dipertuan,59,150.4,p < 0.0001
daulat,Right,kerana,56,51.81,p < 0.0001
daulat,Right,junjung,55,294.79,p < 0.0001
daulat,Right,hamba,54,69.92,p < 0.0001
daulat,Right,hendak,52,21.69,p < 0.0001
daulat,Right,adapun,51,89.44,p < 0.0001
daulat,Right,bawah,51,132.23,p < 0.0001
daulat,Right,datang,47,6.23,p < 0.05
daulat,Right,sembah,44,0,not significant
daulat,Right,lalu,44,0,not significant
daulat,Right,jika,43,65.47,p < 0.0001
daulat,Right,kita,43,0,not significant
daulat,Right,hang,43,0,not significant
daulat,Right,tetapi,41,111.38,p < 0.0001
daulat,Right,tun,40,0,not significant
daulat,Right,seri,39,33.45,p < 0.0001
daulat,Right,orang,39,0,not significant
